"x","y","score","nose_x","nose_y","left_eye_x","left_eye_y","right_eye_x","right_eye_y","left_ear_x","left_ear_y","right_ear_x","right_ear_y","left_shoulder_x","left_shoulder_y","right_shoulder_x","right_shoulder_y","left_elbow_x","left_elbow_y","right_elbow_x","right_elbow_y","left_wrist_x","left_wrist_y","right_wrist_x","right_wrist_y","left_hip_x","left_hip_y","right_hip_x","right_hip_y","left_knee_x","left_knee_y","right_knee_x","right_knee_y","left_ankle_x","left_ankle_y","right_ankle_x","right_ankle_y"
"258.14332158215154","608.817296903647","0.3479356229305267","373.58458518981934","83.88833284378052","367.2525978088379","73.57273578643799","367.239294052124","73.82825374603271","329.224853515625","81.46229982376099","335.8782482147217","80.56262254714966","286.4636468887329","155.45876026153564","335.2081108093262","143.93581867218018","309.05208110809326","296.2310028076172","321.6740131378174","297.87797927856445","346.7399215698242","450.2368354797363","350.6735134124756","453.73804092407227","216.38616561889648","439.42039489746094","275.38546562194824","427.6387596130371","334.04253005981445","474.5987892150879","351.122522354126","474.4852924346924","341.28767013549805","477.18807220458984","351.90853118896484","475.4725742340088"
"252.68287234338047","617.2942536217122","0.5607051930644296","382.62678666308784","99.87853634354674","371.84758620658886","87.16632304677991","373.67018471922734","85.86710597827408","331.9332637605089","91.5613332156503","341.9135437362713","88.09686672653595","256.6494828894311","175.33474230345368","362.9905460968732","148.87394936741566","261.8130225910685","324.38631812275446","352.0384291410721","319.53175020586013","320.0898846349961","428.18281969544387","378.56297480619105","453.44629667836284","250.03294509035504","439.6717303388971","319.22051733859143","442.3089368106896","384.7941930157455","423.7923865959938","402.30892215011914","459.5330215443541","377.3926809703499","470.0459243607653","379.9621007684826","471.1763353052074"
"247.2224231046094","625.7712103397773","0.5607051930644296","383.20972442626953","100.34908294677734","372.3731231689453","87.63202667236328","374.22698974609375","86.32879257202147","332.3988723754883","92.01654434204102","342.4648666381836","88.53931427001953","256.01091384887695","175.8109474182129","363.6269760131836","149.29304122924805","261.16260528564453","324.8699951171875","352.6775360107422","320.0099563598633","319.4547653198242","427.7042007446289","379.19952392578125","453.29524993896484","250.67495346069336","439.80953216552734","319.86921310424805","442.77698516845703","385.44620513916016","423.29887390136713","402.96112060546875","459.06440734863276","378.0365753173828","469.60609436035156","380.5988311767578","470.76633453369135"
"241.7619738658383","634.2481670578425","0.5565141379833222","391.3680614941773","112.33569579978473","381.1917073702878","98.51984717314842","383.7532584217014","96.96121426345141","338.44411479732577","104.96552354313326","348.9593152999397","101.3939198475832","266.14200601801366","188.9454619576153","377.273068525272","160.1325597053234","262.38801630725607","325.7998358215554","376.80504396639276","326.2148730646732","290.0702362749008","433.9215524572042","407.9163007301191","460.19537344529556","258.9322587246551","445.31433925135804","333.09692581774664","446.6222488057812","386.8079082042726","424.5173122027938","425.9426789606","459.05634080421254","284.40039862443666","466.43186127455846","404.741510463613","474.2370983218985"
"236.30152462706724","642.7251237759076","0.531571626663208","397.9869916452243","116.95098471790313","385.91901674376635","101.56159303944891","387.0188250633619","101.66201324210873","345.06068715544814","109.2426917717173","357.42188161506783","107.89252117158065","275.9460328965041","188.94164791595753","388.6833451372564","164.50511723214248","271.74286670307754","324.18759304525213","389.7161634481473","331.84613240645416","302.56297579402946","424.3936779336268","424.79298296776386","463.33247358611385","275.76079966314177","448.181782547214","348.34610747879617","445.6279138261746","396.8600473119808","441.44677264644645","514.5480707445638","459.8792685504299","298.25877653377205","463.0130667797991","427.3735840185592","476.1798741187982"
"230.84107538829616","651.2020804939727","0.5819286566514236","405.14218982880686","117.19254783530305","391.44323807160043","103.13530984766518","392.19972880293403","103.07674455727287","354.5822016184457","113.15973102032771","362.38402812250655","110.78873464212714","286.22004732510544","198.29452929409","402.4196332593506","168.29496658037579","283.1027063190747","328.93929990194766","401.4650674003085","332.04140352145396","314.9810695846674","423.3075348849496","443.4606098985858","461.5913659912974","289.53875848283707","449.04591960970015","362.176134917301","446.37798750909917","410.1859996236119","445.41648212202483","460.6963792101684","471.95678868617887","320.1936461234578","460.61867475279803","443.147454698865","475.7110337706221"
"225.38062614952509","659.6790372120379","0.5941843936840693","413.087964690069","119.01976690721678","400.4591988459755","105.71945217872185","400.5447360045685","106.80480383200093","361.6660125195748","116.2471854919205","371.0224832152411","116.35885357204367","292.9461947360638","196.86124009022484","405.21123160383496","175.91737636537815","294.8030177341108","332.3130182464047","407.68531371008146","335.85287506329524","324.3096596465162","434.0576028082895","454.5352036961283","465.7946098467648","296.37767675135086","457.65021994799247","368.8030703341082","453.7395953474314","415.0710096612664","471.18742650671146","554.1484446271029","466.9529413227912","332.9741567637835","468.0183619630008","455.82877441053824","478.7295412163283"
"219.920176910754","668.155993930103","0.5968490540981293","420.28605080016945","118.58820953343785","406.7032761773563","106.88732442154173","406.85838506596605","107.16285384759763","367.74547191340554","117.47198974434615","371.6987727250168","118.00546378052444","300.1979290611057","203.6244712665509","416.09965104688285","182.71709880026975","300.42547742632235","333.37233326470715","409.6426035448943","335.3456975168012","322.69715337445797","440.1906191780667","470.71239135393455","467.3270748592956","319.3091592104319","452.0055543055693","390.45291616201894","448.35156137651734","438.18369159643964","450.57599065809916","545.7893414593528","470.2356135755659","344.5520048320882","468.51829095811115","473.65356358534433","480.4226790797036"
"214.45972767198293","676.6329506481682","0.5333715264613812","426.14353043742653","123.0390404502781","412.8496370566214","111.03699238938012","412.35616610289577","110.86477244360655","373.44368849439155","120.07816283583621","378.0640847803283","120.2528556712794","303.9078901583807","204.66551413505928","422.0858754054572","182.3706585734356","303.3003998531642","333.2135621748355","429.20611110973607","345.4246422966689","316.8441583577682","444.1868433563012","479.61303507247715","460.89790626642264","329.43667468603155","456.72566603588825","399.8347725400256","455.44790465310757","427.2512636846565","470.57566361933107","509.04976378212496","475.3827940173716","340.00350756803465","468.158251180439","481.7855983925425","476.08586834804566"
"208.99927843321186","685.1099073662333","0.6197583079338074","429.4673377405758","126.55752136418023","416.70468177363387","113.01680486515939","416.708216302342","112.63198604823226","380.0571564886451","120.5343369437893","382.9732863206004","120.61607052136702","309.4033011560632","206.7277727057388","426.04220858181066","184.54160107376742","311.37316116210343","336.4432515067661","424.90567448528714","340.1072172621076","320.84629653704997","443.25677625806014","482.77168245676995","456.5952453889785","333.69909951705176","454.7177226591389","402.8878562750703","452.9922201590027","435.6911509397189","478.6162127619442","502.2069494070473","480.93537181496447","341.2135842129221","468.3846665755117","486.6257101233344","471.44461916808524"
